批次	编号	优先级	大类	Reference 类型	测试文字	设计重点	色彩 / 材质方向	覆盖场景	入库 tags
第一批最优先	1	P0	鸟翼 / 鹰隼	黑紫电光乌鸦羽翼	TrLinda	乌鸦头部、黑紫展翼、闪电核心，整体冷冽但仍是圆润收藏品	黑紫、冷白、电蓝；透明玻璃、黑色羽片、少量电光线	Linda、乌鸦、闪电、battle	crow, raven, wing, lightning, dark, electric
第一批最优先	2	P0	鸟翼 / 鹰隼	银黑展翼鹰徽章	Zahira	展翼鹰徽章，灯头像金属队徽，中心文字清楚	银黑、冷金；拉丝金属、黑曜玻璃、徽章浮雕	Zahira、鹰、team、battle	eagle, wing, badge, silver_black, battle
第一批最优先	3	P0	鸟翼 / 鹰隼	阿拉伯猎鹰古金绿	موكة	猎鹰侧翼、棕榈叶、古金绿色徽章，带中东贵气	古金、祖母绿、深棕；黄铜、绿宝石、砂岩纹理	阿拉伯猎鹰、棕榈、强身份主播	falcon, palm, arabic, antique_gold, green
第一批最优先	4	P0	黑金动物	黑豹金箔奢华	MelNav	黑豹爪或豹头轮廓，爪片护翼，野性但不恐怖	黑曜、金箔、琥珀、烟棕；丝绒、镜面金属、黑色玻璃	Melissa、黑豹、黑金奢华、野性	panther, claw, gold_foil, obsidian, velvet, luxury
第一批最优先	5	P0	帽子 / 人设	宽檐礼帽公鸡	SraHat	宽檐帽做灯头主体，公鸡冠羽只做上方轮廓点	红、银、黑；漆面帽檐、金属冠羽、复古玻璃	Sombrero、礼帽、公鸡、复古人设	wide_hat, sombrero, rooster, crest, retro
第一批最优先	6	P0	帽子 / 人设	牛仔帽复古麦克风	Gokin	卷檐牛仔帽和老麦克风融合，像海岛驻唱礼物	珊瑚橙、海军蓝、奶油白；皮革、旧铜、麦克风金属网	Thai 主播、牛仔帽、驻唱、海岛音乐	cowboy_hat, microphone, island, retro_music
第一批最优先	7	P0	帽子 / 人设	猫耳酒红粉	Chemie	猫耳拱冠，灯头柔软俏皮，不要变成真实猫头	酒红、粉、黑、亮白；果冻树脂、亮面烤漆、柔软耳边	Chemie、猫耳、夜聊、玩闹	cat_ear, y2k, jelly_resin, playful, burgundy
第一批最优先	8	P0	音乐 / 夜场	复古麦克风紫红夜场	Genbro	复古麦克风作为灯头主体，外圈有声波环	紫红、深蓝、银；金属麦网、霓虹管、玻璃核心	音乐直播、rapper、GENBRO、Sunny	microphone, soundwave, nightclub, purple_red
第一批最优先	9	P0	音乐 / 夜场	DJ Headset 祖母绿夜店	Sassy	耳机环绕灯头，中心像夜店舞台光核	祖母绿、紫、黑、冷白；透明亚克力、金属耳机环	DJ、夜店、ZOMORODA、Sassy	dj, headphone, emerald, nightclub, club
第一批最优先	10	P0	Mascot / 食物	熊猫耳机蓝白 Fighter	KakMaa	熊猫圆耳和耳机合体，轻战队感，不要太幼稚	蓝白、黑、银；软胶、半透玻璃、耳机金属	Kak Maa、熊猫、耳机、fighter	panda, headphone, fighter, team, blue_white
第一批最优先	11	P0	徽章 / 战队	警徽电蓝玫紫	LtJohn	警徽盾牌灯头，警灯光冠，文字在徽章中心	电蓝、玫紫、银黑；镜面金属、警灯玻璃	Lieutenant John、警徽、秩序、badge	police_badge, shield, siren, blue_pink
第一批最优先	12	P0	奢品 / 夜聊	香水瓶金链琥珀黑	Duffy	香水瓶灯头，金链作为边缘结构，精致都市感	琥珀、黑、金；厚玻璃香水瓶、金链、镜面金属	B.DUFFY、香水、美妆、精致夜聊	perfume, chain, amber, black, luxury
